Data Source name,Date,Currency,Sales Channel,Transaction Timestamp,Order Created At,Order Updated At,Order ID,Order Name,Country Funnel,Geo Location Segment,Billing Country,Billing Province,Billing City,Order Tags,Product ID,Product Title,Product Tags,Product Type,Variant Title,Gross Sales (INR),Net Sales (INR),Total Sales (INR),Orders,Returns (INR),Return Rate,Items Sold,Items Returned,Average Order Value (INR),New Customer Orders,Returning Customer Orders,Average Items Per Order,Discounts (INR),Row Count,SKU,Customer Sale Type,Customer ID,Shipping Country,Date_Original,flag_invalid_date,Transaction Timestamp_Original,flag_invalid_transaction_timestamp,Order Created At_Original,flag_invalid_order_created_at,Order Updated At_Original,flag_invalid_order_updated_at,calc_average_order_value_inr,calc_average_items_per_order,calc_return_rate,flag_missing_order_id,flag_missing_customer_id,flag_zero_orders,flag_zero_sales,flag_negative_sales
Brand A,2026-01-08,Inr,Online Store,2026-08-01 11:39:42+00:00,2026-08-01 11:39:43+00:00,2026-08-01 11:39:44+00:00,-6318230000000.0,Unknown,United Arab Emirates,Middle East,Unknown,Dubai,Dubai,Unknown,-1.0,Unknown,Unknown,Unknown,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Unknown,First-Time,9052170000000.0,Unknown,08-01-2026,False,2026-01-08T11:39:42Z,False,2026-01-08T11:39:43Z,False,2026-01-08T11:39:44Z,False,0.0,0.0,0.0,False,False,True,True,False
Brand A,2025-01-01,Inr,Online Store,2025-01-01 00:00:00,2025-01-01 00:00:00,2025-01-01 00:00:00,6324090000000.0,#1053,United States,Usa,United States,New York,Richmond Hill,Unknown,-1.0,Unknown,Unknown,Unknown,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Unknown,Unknown,996568100000000.0,United States,,True,2026-01-13T06:25:45Z,True,2026-01-13T06:25:47Z,True,2026-01-13T06:25:48Z,True,0.0,0.0,0.0,False,False,True,True,False
Brand A,2026-01-19,Inr,Online Store,2025-01-01 00:00:00,2025-01-01 00:00:00,2025-01-01 00:00:00,6333300000000.0,#1055,United States,Unknown,United States,California,Unknown,Unknown,-1.0,Unknown,Unknown,Unknown,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Unknown,First-Time,-997928800000000.0,United States,19-01-2026,False,2026-01-19T16:16:58Z,True,2026-01-19T16:16:59Z,True,2026-01-19T16:17:00Z,True,0.0,0.0,0.0,False,False,True,True,False
Brand A,2026-01-29,Inr,Online Store,2025-01-01 00:00:00,2025-01-01 00:00:00,2025-01-01 00:00:00,6345630000000.0,#1057,United States,Usa,United States,Texas,Flower Mound,Unknown,-1.0,Unknown,Unknown,Unknown,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Unknown,First-Time,1000255300000000.0,United States,29-01-2026,False,2026-01-29T15:56:31Z,True,2026-01-29T15:56:32Z,True,,True,0.0,0.0,0.0,False,False,True,True,False
Brand A,2026-01-21,Inr,Online Store,2025-01-01 00:00:00,2025-01-01 00:00:00,2025-01-01 00:00:00,6335680000000.0,#1056,India,India,India,Kerala,Ernakulam,Unknown,-1.0,Unknown,Unknown,Unknown,Unknown,0.0,0.0,148.4614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,First-Time,-1.0,India,21-01-2026,False,2026-01-21T17:02:56Z,True,2026-01-21T17:02:59Z,True,2026-01-21T17:03:01Z,True,0.0,0.0,0.0,False,False,True,False,False
Brand A,2026-01-04,Inr,Online Store,2026-04-01 16:16:06+00:00,2026-04-01 16:16:08+00:00,2026-04-01 16:16:09+00:00,-1.0,#1049,India,India,India,Tamil Nadu,Chennai,Unknown,-1.0,Unknown,Unknown,Unknown,Unknown,0.0,0.0,150.2609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,First-Time,9046300000000.0,Unknown,04-01-2026,False,2026-01-04T16:16:06Z,False,2026-01-04T16:16:08Z,False,2026-01-04T16:16:09Z,False,0.0,0.0,0.0,False,False,True,False,False
Brand A,2025-01-01,Inr,Online Store,2026-06-01 01:41:01+00:00,2026-06-01 01:41:03+00:00,2026-06-01 01:41:04+00:00,6315420000000.0,#1050,India,Unknown,India,Unknown,Mumbai,Unknown,-1.0,Unknown,Unknown,Unknown,Unknown,0.0,0.0,150.2609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Unknown,First-Time,9048400000000.0,India,,True,2026-01-06T01:41:01Z,False,2026-01-06T01:41:03Z,False,2026-01-06T01:41:04Z,False,0.0,0.0,0.0,False,False,True,False,False
Brand A,2026-01-04,Inr,Online Store,2025-01-01 00:00:00,2026-04-01 04:40:13+00:00,2026-04-01 04:40:15+00:00,6313290000000.0,#1048,Singapore,Rest Of The World,Singapore,Unknown,Singapore,Unknown,-1.0,Unknown,Unknown,Unknown,Unknown,0.0,0.0,150.2609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Unknown,First-Time,9045700000000.0,India,04-01-2026,False,,True,2026-01-04T04:40:13Z,False,2026-01-04T04:40:15Z,False,0.0,0.0,0.0,False,False,True,False,False
Brand A,2026-01-02,Inr,Online Store,2026-01-01 22:53:41+00:00,2026-01-01 22:53:42+00:00,2026-01-01 22:53:43+00:00,-1.0,#1046,United States,Usa,United States,New Jersey,Middletown,Unknown,-1.0,Unknown,Unknown,Unknown,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Unknown,First-Time,994662900000000.0,India,02-01-2026,False,2026-01-01T22:53:41Z,False,2026-01-01T22:53:42Z,False,2026-01-01T22:53:43Z,False,0.0,0.0,0.0,False,False,True,True,False
Brand A,2026-01-08,Inr,Online Store,2026-08-01 00:10:11+00:00,2025-01-01 00:00:00,2025-01-01 00:00:00,6317670000000.0,#1051,Canada,Rest Of The World,Canada,Alberta,Beaumont,Unknown,-1.0,Unknown,Unknown,Unknown,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.0,Unknown,First-Time,8836460000000.0,Canada,08-01-2026,False,2026-01-08T00:10:11Z,False,,True,2026-01-08T00:10:13Z,True,0.0,0.0,0.0,False,False,True,True,False
